count,o,label
7938,http://purl.obolibrary.org/obo/BFO_0000050,part_of
7938,http://purl.obolibrary.org/obo/BFO_0000050,part of
7938,http://purl.obolibrary.org/obo/BFO_0000050,part of
811,http://purl.obolibrary.org/obo/BFO_0000051,has part
811,http://purl.obolibrary.org/obo/BFO_0000051,has_part
811,http://purl.obolibrary.org/obo/BFO_0000051,has part
4,http://purl.obolibrary.org/obo/RO_0000087,has role
708,http://purl.obolibrary.org/obo/RO_0002160,only_in_taxon
708,http://purl.obolibrary.org/obo/RO_0002160,only in taxon
1482,http://purl.obolibrary.org/obo/RO_0002202,develops_from
1482,http://purl.obolibrary.org/obo/RO_0002202,develops from
648,http://purl.obolibrary.org/obo/RO_0002215,capable_of
648,http://purl.obolibrary.org/obo/RO_0002215,capable of
648,http://purl.obolibrary.org/obo/RO_0002215,capable of
132,http://purl.obolibrary.org/obo/RO_0000053,bearer of
132,http://purl.obolibrary.org/obo/RO_0000053,bearer of
35,http://purl.obolibrary.org/obo/RO_0000056,participates in
35,http://purl.obolibrary.org/obo/RO_0000056,participates_in
35,http://purl.obolibrary.org/obo/RO_0000056,participates in
1023,http://purl.obolibrary.org/obo/cl#lacks_plasma_membrane_part,lacks_plasma_membrane_part
1098,http://purl.obolibrary.org/obo/RO_0002104,has plasma membrane part
52,http://purl.obolibrary.org/obo/RO_0003000,produces
52,http://purl.obolibrary.org/obo/RO_0003000,produces
241,http://purl.obolibrary.org/obo/RO_0002220,adjacent_to
241,http://purl.obolibrary.org/obo/RO_0002220,adjacent to
71,http://purl.obolibrary.org/obo/RO_0002162,in taxon
127,http://purl.obolibrary.org/obo/RO_0001025,located in
127,http://purl.obolibrary.org/obo/RO_0001025,located_in
187,http://purl.obolibrary.org/obo/cl#has_low_plasma_membrane_amount,has_low_plasma_membrane_amount
227,http://purl.obolibrary.org/obo/pr#lacks_part,lacks_part
193,http://purl.obolibrary.org/obo/cl#has_high_plasma_membrane_amount,has_high_plasma_membrane_amount
34,http://purl.obolibrary.org/obo/cl#lacks_part,lacks_part
51,http://purl.obolibrary.org/obo/cl#has_completed,has_completed
19,http://purl.obolibrary.org/obo/RO_0002203,develops_into
19,http://purl.obolibrary.org/obo/RO_0002203,develops into
9,http://purl.obolibrary.org/obo/RO_0002120,synapsed to
27,http://purl.obolibrary.org/obo/cl#has_not_completed,has_not_completed
13,http://purl.obolibrary.org/obo/RO_0002102,axon synapses in
6,http://purl.obolibrary.org/obo/RO_0002103,synapsed by
25,http://purl.obolibrary.org/obo/RO_0002292,expresses
2,http://purl.obolibrary.org/obo/RO_0002130,has synaptic terminal in
20,http://purl.obolibrary.org/obo/RO_0002100,has soma location
2,http://purl.obolibrary.org/obo/RO_0002216,capable of part of
2,http://purl.obolibrary.org/obo/RO_0002216,capable of part of
4,http://purl.obolibrary.org/obo/RO_0001000,derives_from
4,http://purl.obolibrary.org/obo/RO_0001000,derives from
57,http://purl.obolibrary.org/obo/RO_0002134,innervates
57,http://purl.obolibrary.org/obo/RO_0002134,innervates
701,http://purl.obolibrary.org/obo/RO_0002211,regulates
701,http://purl.obolibrary.org/obo/RO_0002211,regulates
642,http://purl.obolibrary.org/obo/RO_0002212,negatively regulates
642,http://purl.obolibrary.org/obo/RO_0002212,negatively regulates
642,http://purl.obolibrary.org/obo/RO_0002213,positively regulates
642,http://purl.obolibrary.org/obo/RO_0002213,positively regulates
35,http://purl.obolibrary.org/obo/BFO_0000066,occurs in
35,http://purl.obolibrary.org/obo/BFO_0000066,occurs in
1,http://purl.obolibrary.org/obo/RO_0002481,is kinase activity
7,http://purl.obolibrary.org/obo/pato#increased_in_magnitude_relative_to,increased_in_magnitude_relative_to
7,http://purl.obolibrary.org/obo/pato#decreased_in_magnitude_relative_to,decreased_in_magnitude_relative_to
2,http://purl.obolibrary.org/obo/pato#has_cross_section,has_cross_section
6,http://purl.obolibrary.org/obo/pato#has_relative_magnitude,has_relative_magnitude
1,http://purl.obolibrary.org/obo/RO_0002353,output_of
329,http://purl.obolibrary.org/obo/pr#has_gene_template,has_gene_template
11,http://purl.obolibrary.org/obo/RO_0002180,has_component
11,http://purl.obolibrary.org/obo/RO_0002180,has component
11,http://purl.obolibrary.org/obo/RO_0002180,has component
1,http://purl.obolibrary.org/obo/RO_0000086,has_quality
83,http://purl.obolibrary.org/obo/RO_0002150,continuous_with
374,http://purl.obolibrary.org/obo/RO_0002433,contributes to morphology of
224,http://purl.obolibrary.org/obo/RO_0002176,connects
54,http://purl.obolibrary.org/obo/RO_0002551,has skeleton
97,http://purl.obolibrary.org/obo/RO_0002495,immediate transformation of
15,http://purl.obolibrary.org/obo/BSPO_0001107,immediately_deep_to
191,http://purl.obolibrary.org/obo/RO_0002473,composed primarily of
65,http://purl.obolibrary.org/obo/BSPO_0000126,in_lateral_side_of
27,http://purl.obolibrary.org/obo/RO_0002492,existence ends during
84,http://purl.obolibrary.org/obo/RO_0002371,attaches_to
12,http://purl.obolibrary.org/obo/RO_0001015,location_of
12,http://purl.obolibrary.org/obo/RO_0001015,location of
129,http://purl.obolibrary.org/obo/uberon/core#extends_fibers_into,extends_fibers_into
22,http://purl.obolibrary.org/obo/uberon/core#channel_for,channel for
15,http://purl.obolibrary.org/obo/uberon/core#channels_from,channels_from
15,http://purl.obolibrary.org/obo/uberon/core#channels_into,channels_into
28,http://purl.obolibrary.org/obo/uberon/core#conduit_for,conduit for
4,http://purl.obolibrary.org/obo/RO_0002496,existence starts during or after
1,http://purl.obolibrary.org/obo/RO_0002497,existence ends during or before
1,http://purl.obolibrary.org/obo/RO_0002002,has boundary
11,http://purl.obolibrary.org/obo/BFO_0000062,preceded by
11,http://purl.obolibrary.org/obo/BFO_0000062,preceded_by
3,http://purl.obolibrary.org/obo/BFO_0000063,precedes
3,http://purl.obolibrary.org/obo/BFO_0000063,precedes
1,http://purl.obolibrary.org/obo/RO_0002229,ends
33,http://purl.obolibrary.org/obo/RO_0002219,surrounded_by
7,http://purl.obolibrary.org/obo/RO_0002285,developmentally_replaces
26,http://purl.obolibrary.org/obo/RO_0002256,developmentally_induced_by
9,http://purl.obolibrary.org/obo/RO_0002488,existence starts during
1,http://purl.obolibrary.org/obo/RO_0002224,starts with
1,http://purl.obolibrary.org/obo/RO_0002230,ends with
1,http://purl.obolibrary.org/obo/RO_0002223,starts
1,http://purl.obolibrary.org/obo/RO_0002087,immediately_preceded_by
1,http://purl.obolibrary.org/obo/RO_0002087,immediately preceded by
46,http://purl.obolibrary.org/obo/RO_0002494,transformation of
68,http://purl.obolibrary.org/obo/RO_0002007,bounding layer of
53,http://purl.obolibrary.org/obo/RO_0002221,surrounds
9,http://purl.obolibrary.org/obo/BSPO_0000096,anterior_to
134,http://purl.obolibrary.org/obo/RO_0002254,has developmental contribution from
134,http://purl.obolibrary.org/obo/RO_0002254,has developmental contribution from
5,http://purl.obolibrary.org/obo/BSPO_0001106,proximalmost_part_of
120,http://purl.obolibrary.org/obo/RO_0002572,luminal space of
19,http://purl.obolibrary.org/obo/uberon/core#subdivision_of,subdivision of
26,http://purl.obolibrary.org/obo/RO_0002351,has member
6,http://purl.obolibrary.org/obo/BSPO_0000098,dorsal_to
11,http://purl.obolibrary.org/obo/RO_0002491,existence starts and ends during
7,http://purl.obolibrary.org/obo/RO_0001019,contains
7,http://purl.obolibrary.org/obo/RO_0001019,contains
54,http://purl.obolibrary.org/obo/RO_0003001,produced_by
54,http://purl.obolibrary.org/obo/RO_0003001,produced by
83,http://purl.obolibrary.org/obo/RO_0002380,branching_part_of
6,http://purl.obolibrary.org/obo/RO_0002177,attaches_to_part_of
98,http://purl.obolibrary.org/obo/RO_0002179,drains
63,http://purl.obolibrary.org/obo/BSPO_0000120,in_left_side_of
39,http://purl.obolibrary.org/obo/RO_0002170,connected to
39,http://purl.obolibrary.org/obo/RO_0002170,connected to
129,http://purl.obolibrary.org/obo/RO_0002178,supplies
11,http://purl.obolibrary.org/obo/RO_0002489,existence starts with
9,http://purl.obolibrary.org/obo/RO_0002493,existence ends with
236,http://purl.obolibrary.org/obo/RO_0002387,has potential to develop into
236,http://purl.obolibrary.org/obo/RO_0002387,has potential to develop into
34,http://purl.obolibrary.org/obo/RO_0002372,has_muscle_origin
28,http://purl.obolibrary.org/obo/RO_0002373,has_muscle_insertion
11,http://purl.obolibrary.org/obo/BSPO_0000123,in_anterior_side_of
1,http://purl.obolibrary.org/obo/uberon/core#anteriorly_connected_to,anteriorly connected to
1,http://purl.obolibrary.org/obo/uberon/core#posteriorly_connected_to,posteriorly connected to
38,http://purl.obolibrary.org/obo/uberon/core#proximally_connected_to,proximally connected to
17,http://purl.obolibrary.org/obo/uberon/core#distally_connected_to,distally connected to
1,http://purl.obolibrary.org/obo/BSPO_0001113,preaxialmost_part_of
8,http://purl.obolibrary.org/obo/BSPO_0001108,distalmost_part_of
16,http://purl.obolibrary.org/obo/RO_0002568,has_muscle_antagonist
62,http://purl.obolibrary.org/obo/BSPO_0000121,in_right_side_of
24,http://purl.obolibrary.org/obo/RO_0002005,innervated_by
24,http://purl.obolibrary.org/obo/RO_0002005,innervated_by
5,http://purl.obolibrary.org/obo/uberon/core#protects,protects
4,http://purl.obolibrary.org/obo/RO_0002571,lumen of
25,http://purl.obolibrary.org/obo/RO_0002376,tributary_of
3,http://purl.obolibrary.org/obo/uberon/core#sexually_homologous_to,sexually_homologous_to
5,http://purl.obolibrary.org/obo/RO_0002226,develops_in
4,http://purl.obolibrary.org/obo/uberon/core#filtered_through,filtered through
64,http://purl.obolibrary.org/obo/RO_0002576,skeleton of
2,http://purl.obolibrary.org/obo/RO_0002207,directly_develops_from
8,http://purl.obolibrary.org/obo/uberon/core#indirectly_supplies,indirectly_supplies
12,http://purl.obolibrary.org/obo/BSPO_0000122,in_posterior_side_of
8,http://purl.obolibrary.org/obo/BSPO_0000107,deep_to
7,http://purl.obolibrary.org/obo/BSPO_0000108,superficial_to
9,http://purl.obolibrary.org/obo/BSPO_0015014,immediately_superficial_to
2,http://purl.obolibrary.org/obo/BSPO_0000102,ventral_to
2,http://purl.obolibrary.org/obo/uberon/core#trunk_part_of,trunk_part_of
2,http://purl.obolibrary.org/obo/BSPO_0000097,distal_to
3,http://purl.obolibrary.org/obo/BSPO_0000100,proximal_to
2,http://purl.obolibrary.org/obo/BSPO_0001101,in_deep_part_of
4,http://purl.obolibrary.org/obo/BSPO_0000099,posterior_to
18,http://purl.obolibrary.org/obo/RO_0002385,has potential to developmentally contribute to
18,http://purl.obolibrary.org/obo/RO_0002385,has potential to developmentally contribute to
3,http://purl.obolibrary.org/obo/BSPO_0005001,intersects_midsagittal_plane_of
4,http://purl.obolibrary.org/obo/BSPO_0000125,in_distal_side_of
4,http://purl.obolibrary.org/obo/BSPO_0000124,in_proximal_side_of
10,http://purl.obolibrary.org/obo/BSPO_0015101,in_dorsal_side_of
2,http://purl.obolibrary.org/obo/RO_0002225,develops_from_part_of
1,http://purl.obolibrary.org/obo/RO_0002566,causally influences
2,http://purl.obolibrary.org/obo/RO_0002418,causally upstream of or within
